timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2
1.28125,5.025328869,5.466388381,0.433509022,0.151556428,0.193428686,15.69851736,,,,
1.291666667,5.068237959,5.490780419,0.444110439,0.157173328,0.199800724,15.67643023,,,,
1.302083333,5.420786564,5.535364444,0.505991975,0.165558081,0.204794587,15.50635881,,,,
1.3125,5.689374242,5.617617125,0.537598491,0.170893445,0.208942229,15.36660272,,,,
1.322916667,5.883610503,5.719367213,0.561114363,0.17478959,0.212374781,15.26794061,,,,
1.3333333,6.024422362,5.829484235,0.583398119,0.178150313,0.21527648,15.19853415,,,,
1.34375,6.804923921,6.029196999,0.821445075,0.202040315,0.215474027,14.82795583,,,,
1.354166667,7.376925922,6.325455072,0.96750283,0.216319268,0.214310491,14.53819448,,,,
1.364583333,7.770494656,6.655106578,1.089758381,0.226234151,0.212042367,14.34813461,,,,
1.375,8.04186009,6.984035576,1.20909923,0.235795338,0.209555398,14.22191935,,,,
1.385416667,9.423758171,7.629233036,1.943340019,0.377008717,0.215922891,13.61348715,,,,
1.395833333,10.34334039,8.443144103,2.560435887,0.51972257,0.225772088,13.19877987,,,,
1.40625,10.91010645,9.232724963,3.160538016,0.67768269,0.238676209,12.97058803,,,,
1.416666667,11.25989832,9.923029484,3.750292242,0.861111808,0.257926999,12.84222287,,,,
1.427083333,12.54603187,10.95454074,5.197666943,1.614161588,0.426616025,12.43414238,,,,
1.4375,13.32778991,12.02109072,6.421966204,2.431577914,0.67287212,12.2007819,,,,
1.447916667,13.77526197,12.89794833,7.496046662,3.27789742,0.998947755,12.09134875,,,,
1.4583333,14.05570503,13.56221595,8.409741249,4.11263265,1.403087537,12.03304841,,,,
1.46875,14.67283458,14.21121989,9.47960852,5.228782657,2.107779829,11.9180002,,,,
1.479166667,15.13260694,14.82915665,10.32247658,6.212628672,2.86381871,11.83555799,,,,
1.489583333,15.50362334,15.35343106,11.01391199,7.056489984,3.614444755,11.77963949,,,,
1.5,15.84246482,15.79974693,11.58797368,7.771608326,4.321093536,11.73353459,,,,
1.510416667,16.36581211,16.25265954,12.11089348,8.409786728,4.994230995,11.66615676,,,,
1.520833333,16.7955872,16.71803291,12.58858089,8.959347513,5.593364616,11.61375536,,,,
1.53125,17.16017386,17.15014972,13.03513977,9.447163634,6.124443957,11.57391089,,,,
1.541666667,17.47953151,17.53981019,13.44816479,9.888279433,6.598309569,11.53931812,,,,
1.552083333,17.67939463,17.8584345,13.72276061,10.17538767,6.914880849,11.52544567,,,,
1.5625,17.86289547,18.11277709,13.99431946,10.4450197,7.19781202,11.511543,,,,
1.572916667,18.03552713,18.33335315,14.24468353,10.69887373,7.456311953,11.49454632,,,,
1.5833333,18.19318819,18.52964782,14.4704029,10.93471016,7.694958066,11.47806626,,,,
1.59375,17.89857728,18.59426552,14.5373422,11.01516692,7.788019557,11.49301105,,,,
1.604166667,17.73766121,18.52475471,14.56538886,11.07849998,7.866026437,11.50306675,,,,
1.614583333,17.67249868,18.43937192,14.54419289,11.11019428,7.925081205,11.50635586,,,,
1.625,17.65462939,18.3740888,14.49616259,11.10746194,7.958962287,11.5043368,,,,
1.635416667,17.24818373,18.24830444,14.31795434,10.95072589,7.844327963,11.54123279,,,,
1.645833333,16.98052601,18.02951208,14.13847668,10.78576684,7.710493448,11.57220286,,,,
1.65625,16.8106571,17.81302247,13.94384296,10.6098632,7.561180836,11.5884184,,,,
1.666666667,16.69134124,17.62656836,13.74703304,10.42405982,7.398217754,11.59967581,,,,
1.677083333,16.25537714,17.40640947,13.48582225,10.1605427,7.155958781,11.65849256,,,,
1.6875,15.94948808,17.1251281,13.22991941,9.901993107,6.909366455,11.70575108,,,,
1.697916667,15.73194477,16.85388918,12.97023635,9.645671071,6.661845129,11.73768638,,,,
