timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,,,,,,,,,,,,,,,,,,,,
0.479166667,11.26706515,7.126102065,3.909085726,1.592183421,0.523753216,14.24742753,17.00548514,18.54137035,18.81845964,17.2616235,,,,,,,,,,,,,,,,,,,,
0.489583333,11.43195462,7.50144558,4.40367298,1.966722815,0.665664054,14.21728027,16.97300234,18.52895347,18.80591314,17.18834688,,,,,,,,,,,,,,,,,,,,
0.5,11.52865515,7.734809749,4.771487939,2.302067744,0.818882168,14.19958696,16.952256,18.52118616,18.79738837,17.13781433,,,,,,,,,,,,,,,,,,,,
0.510416667,11.79479679,7.962419546,5.067688174,2.603266099,0.983345055,14.14759583,16.93131022,18.51493462,18.79108306,17.09983116,,,,,,,,,,,,,,,,,,,,
0.520833333,11.95442585,8.161701591,5.305851496,2.849688863,1.134978334,14.11800361,16.9153931,18.51028617,18.78661597,17.07119418,,,,,,,,,,,,,,,,,,,,
0.53125,12.057975,8.309016603,5.493672203,3.049915808,1.269338189,14.09539188,16.90037768,18.50588109,18.7832109,17.04862736,,,,,,,,,,,,,,,,,,,,
0.541666667,12.13367134,8.412960975,5.634446505,3.207987569,1.383988137,14.0800517,16.88772782,18.50229999,18.77993267,17.03056108,,,,,,,,,,,,,,,,,,,,
0.552083333,12.08017002,8.355309436,5.627867453,3.239085088,1.415429609,14.08691032,16.88640245,18.50163712,18.78006478,17.01679666,,,,,,,,,,,,,,,,,,,,
0.5625,12.07407392,8.306530369,5.590683389,3.234333461,1.424379002,14.0759352,16.87673751,18.49934505,18.77933606,17.00603862,,,,,,,,,,,,,,,,,,,,
0.572916667,12.08168463,8.278559013,5.549537362,3.207370999,1.413629576,14.06732182,16.87181635,18.49851458,18.77901543,16.99701042,,,,,,,,,,,,,,,,,,,,
0.5833333,12.08689854,8.262534687,5.514609016,3.171800035,1.389608273,14.05980965,16.86620496,18.49697659,18.77868424,16.98843367,,,,,,,,,,,,,,,,,,,,
0.59375,11.58889617,7.994580207,5.342739284,3.032890177,1.290353585,14.1235808,16.87425778,18.49783752,18.78057068,16.98214051,,,,,,,,,,,,,,,,,,,,
0.604166667,11.28876126,7.667936691,5.108800329,2.871228117,1.187714157,14.17029278,16.88301893,18.49843942,18.78199572,16.9768338,,,,,,,,,,,,,,,,,,,,
0.614583333,11.11163929,7.387071663,4.847354033,2.680267063,1.076119276,14.19664465,16.89630218,18.50030498,18.78437808,16.97169733,,,,,,,,,,,,,,,,,,,,
0.625,10.99680186,7.170262513,4.597029042,2.473232987,0.955272151,14.21612577,16.90760607,18.50228905,18.78721683,16.96694151,,,,,,,,,,,,,,,,,,,,
0.635416667,10.46586286,6.774111148,4.248154143,2.179745769,0.779672938,14.3262911,16.93579492,18.50742265,18.79360768,16.96333429,,,,,,,,,,,,,,,,,,,,
0.645833333,10.14449746,6.380205816,3.887020044,1.89066361,0.62193739,14.3949968,16.96322972,18.51250537,18.80065413,16.96090301,,,,,,,,,,,,,,,,,,,,
0.65625,9.947361788,6.062408534,3.545024006,1.613306718,0.48575055,14.44726702,16.99576776,18.51974326,18.80935142,16.95872134,,,,,,,,,,,,,,,,,,,,
0.666666667,9.815465174,5.824305693,3.249137373,1.36402804,0.374879374,14.48940736,17.02419569,18.52700401,18.81930911,16.95722001,,,,,,,,,,,,,,,,,,,,
0.677083333,9.386858625,5.498034831,2.931908647,1.11225979,0.275247852,14.61582415,17.06758802,18.53713763,18.83325526,16.95636355,,,,,,,,,,,,,,,,,,,,
0.6875,9.140140339,5.195147359,2.638228278,0.905021558,0.208593666,14.69019515,17.11089605,18.5481237,18.84800004,16.95623058,,,,,,,,,,,,,,,,,,,,
0.697916667,8.997488338,4.963903405,2.385051648,0.74083482,0.165012579,14.74446335,17.15469116,18.56121277,18.86412213,16.95694003,,,,,,,,,,,,,,,,,,,,
0.7083333,8.91061085,4.801312558,2.184837607,0.619574626,0.137806089,14.77929245,17.18529914,18.57341127,18.87849822,16.95786161,,,,,,,,,,,,,,,,,,,,
0.71875,8.515358317,4.533191223,1.957001676,0.501275695,0.115053666,14.9253771,17.24255965,18.59082604,18.90216562,16.95985249,,,,,,,,,,,,,,,,,,,,
0.729166667,8.297464839,4.284111028,1.752158302,0.417154559,0.103356422,15.00323376,17.29706528,18.60962896,18.92443821,16.962754,,,,,,,,,,,,,,,,,,,,
0.739583333,8.18272106,4.100470556,1.583217189,0.356498508,0.09666042,15.05019798,17.34556171,18.62972965,18.94346293,16.96648173,,,,,,,,,,,,,,,,,,,,
0.75,8.122103853,3.97937736,1.458676747,0.315427236,0.093191624,15.07713998,17.37949266,18.6473403,18.95669735,16.97093599,,,,,,,,,,,,,,,,,,,,
0.760416667,7.657876939,3.840780453,1.384749955,0.297419418,0.093260682,15.25139275,17.41566647,18.65951268,18.96148011,16.97582147,,,,,,,,,,,,,,,,,,,,
0.770833333,7.410840453,3.652134776,1.29720326,0.279982973,0.093537097,15.35378566,17.46659748,18.67358031,18.96628128,16.98106829,,,,,,,,,,,,,,,,,,,,
0.78125,7.288072559,3.500457124,1.208277122,0.26120075,0.093624606,15.40671504,17.51344391,18.689653,18.9720833,16.98772045,,,,,,,,,,,,,,,,,,,,
0.791666667,7.22895495,3.399945281,1.136858217,0.24559393,0.094030586,15.4345621,17.54580218,18.70336119,18.97648712,16.99487479,,,,,,,,,,,,,,,,,,,,
0.802083333,6.769969802,3.298858408,1.11560192,0.24780125,0.096965689,15.6161745,17.57503527,18.70800378,18.97346545,17.00331265,,,,,,,,,,,,,,,,,,,,
0.8125,6.527122386,3.12949214,1.060940802,0.242189524,0.098826634,15.72723985,17.62952101,18.71838859,18.9755123,17.01248072,,,,,,,,,,,,,,,,,,,,
0.822916667,6.408649289,2.990205095,0.992557264,0.230170897,0.099620267,15.78040521,17.67863764,18.73269455,18.97969696,17.02267396,,,,,,,,,,,,,,,,,,,,
0.8333333,6.353134577,2.898350649,0.93464715,0.218354169,0.10017207,15.80402795,17.71231799,18.74567128,18.98255908,17.03612719,,,,,,,,,,,,,,,,,,,,
0.84375,5.832655517,2.744668314,0.887459076,0.211410499,0.101341367,16.03644721,17.76209682,18.75583394,18.98348357,17.04951414,,,,,,,,,,,,,,,,,,,,
0.854166667,5.56382848,2.537018597,0.809592387,0.198736402,0.101799685,16.16553907,17.83866152,18.77404969,18.98721265,17.06573745,,,,,,,,,,,,,,,,,,,,
0.864583333,5.436154817,2.379047283,0.729618839,0.182989084,0.101516391,16.231025,17.90246389,18.79531342,18.9920533,17.08409151,,,,,,,,,,,,,,,,,,,,
0.875,5.377570341,2.280822225,0.670539742,0.170677404,0.101455158,16.24880793,17.94419095,18.81192185,18.99467883,17.10589079,,,,,,,,,,,,,,,,,,,,
0.885416667,4.803372677,2.095948899,0.613127944,0.16097303,0.101835347,16.5156366,18.01221997,18.82722804,18.99636924,17.13048171,,,,,,,,,,,,,,,,,,,,
0.895833333,4.502979524,1.864992328,0.532087275,0.148184372,0.101985261,16.66697271,18.11044704,18.85178296,19.00009234,17.15799628,,,,,,,,,,,,,,,,,,,,
0.90625,4.359674175,1.696315904,0.457977165,0.134903737,0.101743763,16.74362251,18.18704333,18.87607358,19.00350982,17.18859247,,,,,,,,,,,,,,,,,,,,
0.916666667,4.29353008,1.595093595,0.408631083,0.125776773,0.101784706,16.77423318,18.23501294,18.89165871,19.00429411,17.22248611,,,,,,,,,,,,,,,,,,,,
0.927083333,3.963888506,1.450284233,0.359942944,0.117643726,0.102071379,16.93384859,18.29792552,18.90757065,19.00606879,17.26109948,,,,,,,,,,,,,,,,,,,,
0.9375,3.799047973,1.316272549,0.316497637,0.111494381,0.102660838,17.01958281,18.3611028,18.9224635,19.00696229,17.30278829,,,,,,,,,,,,,,,,,,,,
0.947916667,3.723684775,1.231699533,0.286630954,0.107347036,0.103392734,17.05182722,18.40284202,18.9321803,19.00705044,17.34607474,,,,,,,,,,,,,,,,,,,,
0.9583333,3.690652712,1.186872546,0.270510396,0.105430894,0.104339538,17.09972942,18.42609095,18.93605829,19.00666007,17.38963024,,,,,,,,,,,,,,,,,,,,
0.96875,3.505564639,1.113686783,0.252117726,0.103583785,0.105484817,17.16359235,18.45899768,18.94244435,19.00705391,17.4337872,,,,,,,,,,,,,,,,,,,,
0.979166667,3.414238578,1.048175825,0.235640585,0.102280818,0.106706299,17.20988245,18.49134121,18.94816334,19.00695985,17.47655342,,,,,,,,,,,,,,,,,,,,
0.989583333,3.373547262,1.008937515,0.224944164,0.101638245,0.107941355,17.23040696,18.51125083,18.95099859,19.00654116,17.51589365,,,,,,,,,,,,,,,,,,,,
1,3.356656983,0.989528767,0.219747313,0.101730835,0.109200716,17.24078348,18.52130608,18.95213614,19.00618378,17.55374862,,,,,,,,,,,,,,,,,,,,
1.010416667,3.020765787,0.804797596,0.172334024,0.096602477,0.111434071,17.41885807,18.61277504,18.97569319,19.01007593,17.60175425,,,,,,,,,,,,,,,,,,,,
1.020833333,2.862302716,0.691360329,0.14969165,0.096010263,0.114448105,17.48186264,18.66847598,18.98006048,19.00823304,17.65046877,,,,,,,,,,,,,,,,,,,,
1.03125,2.794198045,0.640537943,0.14215316,0.097609455,0.117841727,17.51723359,18.69614985,18.97994644,19.00726877,17.69761953,,,,,,,,,,,,,,,,,,,,
1.041666667,2.767292857,0.622922198,0.141802284,0.100317291,0.12142436,17.53117559,18.7040531,18.97987621,19.00740813,17.74040072,,,,,,,,,,,,,,,,,,,,
1.052083333,2.64223565,0.522391734,0.125303804,0.102236705,0.12664554,17.60894415,18.76130692,18.99023993,19.00799491,17.79084866,,,,,,,,,,,,,,,,,,,,
1.0625,2.597874993,0.489812761,0.123956112,0.106343416,0.13222834,17.61552578,18.77439542,18.98722322,19.00629772,17.83776939,,,,,,,,,,,,,,,,,,,,
1.072916667,2.588079103,0.487298339,0.128215415,0.111337859,0.137974517,17.61847009,18.77469775,18.98447602,19.0053391,17.87947385,,,,,,,,,,,,,,,,,,,,
