timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,,,,,,,,,,,,,,,,,,,
0.739583333,13.17751678,10.03258143,7.651111215,4.154987641,1.829483158,12.22127958,13.60219116,14.95498916,18.18212924,16.96648173,,,,,,,,,,,,,,,,,,,
0.75,12.97512031,9.771856337,7.369598369,3.858273663,1.558503691,12.27574168,13.67774201,15.01904727,18.19319108,16.97093599,,,,,,,,,,,,,,,,,,,
0.760416667,12.30025336,9.472007664,7.130809494,3.615687471,1.337333605,12.48103823,13.76584808,15.07727739,18.20133726,16.97582147,,,,,,,,,,,,,,,,,,,
0.770833333,11.8639253,9.105940241,6.868779608,3.382648861,1.144120998,12.6372962,13.88856265,15.14599819,18.21258403,16.98106829,,,,,,,,,,,,,,,,,,,
0.78125,11.58084081,8.778299685,6.595708519,3.150266116,0.973348285,12.73577295,14.00586609,15.22387366,18.22494576,16.98772045,,,,,,,,,,,,,,,,,,,
0.791666667,11.38960017,8.51561511,6.338829835,2.9219675,0.820989248,12.81100717,14.1048035,15.30277006,18.24045106,16.99487479,,,,,,,,,,,,,,,,,,,
0.802083333,10.74395792,8.242793162,6.139491801,2.762225259,0.721369092,13.0462054,14.2051669,15.36795247,18.24996774,17.00331265,,,,,,,,,,,,,,,,,,,
0.8125,10.35900567,7.910214895,5.913049864,2.594853464,0.630205537,13.20676135,14.33883361,15.44348092,18.2639688,17.01248072,,,,,,,,,,,,,,,,,,,
0.822916667,10.13234666,7.625900238,5.67725006,2.418347426,0.544090614,13.30534871,14.45854243,15.52684221,18.28073499,17.02267396,,,,,,,,,,,,,,,,,,,
0.8333333,9.993407689,7.410914251,5.46174648,2.242104848,0.462856297,13.36234902,14.55225539,15.60731484,18.29941248,17.03612719,,,,,,,,,,,,,,,,,,,
0.84375,9.359635867,7.141711356,5.271103831,2.089253419,0.39646416,13.62327174,14.66347259,15.68009028,18.31725362,17.04951414,,,,,,,,,,,,,,,,,,,
0.854166667,8.996452966,6.818957829,5.053954517,1.935939784,0.336355916,13.797358,14.80921402,15.76511161,18.33776873,17.06573745,,,,,,,,,,,,,,,,,,,
0.864583333,8.79570314,6.552819407,4.831758829,1.778154096,0.280773304,13.89028572,14.93388255,15.85607238,18.3614361,17.08409151,,,,,,,,,,,,,,,,,,,
0.875,8.681601324,6.360446565,4.634167516,1.625198135,0.230636663,13.934752,15.02662363,15.94018276,18.38717721,17.10589079,,,,,,,,,,,,,,,,,,,
0.885416667,8.046561262,6.092104488,4.448596316,1.479788496,0.185971962,14.20852461,15.14366739,16.01876023,18.41467808,17.13048171,,,,,,,,,,,,,,,,,,,
0.895833333,7.687398745,5.771554527,4.237132136,1.342328558,0.15084435,14.3814512,15.29533137,16.10924245,18.44263096,17.15799628,,,,,,,,,,,,,,,,,,,
0.90625,7.496199738,5.512097568,4.022400948,1.205412164,0.121629479,14.47163364,15.42206166,16.20419607,18.47328972,17.18859247,,,,,,,,,,,,,,,,,,,
0.916666667,7.394183109,5.329839731,3.834361018,1.076911396,0.098176113,14.51894148,15.51286034,16.28995322,18.50495655,17.22248611,,,,,,,,,,,,,,,,,,,
0.927083333,7.040950001,5.119592858,3.654429999,0.937714779,0.075835501,14.67714355,15.61199586,16.37163266,18.54380862,17.26109948,,,,,,,,,,,,,,,,,,,
0.9375,6.841818539,4.913219647,3.485270679,0.827345283,0.063539281,14.77722838,15.71527394,16.45044843,18.57547828,17.30278829,,,,,,,,,,,,,,,,,,,
0.947916667,6.737998421,4.757013225,3.335347282,0.735961552,0.055161311,14.8273396,15.79509467,16.52186384,18.60338458,17.34607474,,,,,,,,,,,,,,,,,,,
