timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,,,,,,,,,,,,,,,,,,,
0.5625,15.82667215,10.54391423,7.317734827,4.773691476,2.611671352,11.86953771,15.37968475,17.95821755,18.71522265,,,,,,,,,,,,,,,,,,,
0.572916667,15.86850768,10.57533507,7.327824121,4.788788288,2.64270012,11.86420324,15.36940961,17.95539884,18.71454784,,,,,,,,,,,,,,,,,,,
0.5833333,15.90322366,10.60877906,7.342613145,4.795559733,2.654589198,11.85634364,15.36110601,17.95290111,18.71382069,,,,,,,,,,,,,,,,,,,
0.59375,15.51089329,10.36408702,7.193858012,4.684329402,2.569088321,11.89919669,15.38027977,17.95482074,18.71513563,,,,,,,,,,,,,,,,,,,
0.604166667,15.25749259,10.08740404,6.988857896,4.542720633,2.46876399,11.93417268,15.39747851,17.95518355,18.71571082,,,,,,,,,,,,,,,,,,,
0.614583333,15.10356612,9.852704768,6.760693705,4.367990988,2.348213124,11.95724337,15.41668261,17.95693553,18.71632413,,,,,,,,,,,,,,,,,,,
0.625,14.99938093,9.670845289,6.541734428,4.173417102,2.206896454,11.97128998,15.43425209,17.95853846,18.7168458,,,,,,,,,,,,,,,,,,,
0.635416667,14.53091251,9.277020717,6.194190933,3.870651707,1.975056109,12.04774915,15.48287798,17.96737688,18.72037948,,,,,,,,,,,,,,,,,,,
0.645833333,14.20660643,8.904464043,5.834894102,3.55646306,1.736259424,12.11343752,15.52687427,17.97418063,18.72337507,,,,,,,,,,,,,,,,,,,
0.65625,13.98530366,8.59864086,5.492655479,3.239747389,1.496183364,12.15890137,15.57170663,17.98182707,18.72663268,,,,,,,,,,,,,,,,,,,
0.666666667,13.81958539,8.358356382,5.189056435,2.936212599,1.264104672,12.19100588,15.60978911,17.99170209,18.73075603,,,,,,,,,,,,,,,,,,,
0.677083333,13.3620768,8.001785925,4.838829248,2.6012589,1.015733043,12.30049157,15.67744547,18.00464743,18.73676927,,,,,,,,,,,,,,,,,,,
0.6875,13.04568671,7.667992187,4.503523645,2.289161413,0.800288957,12.38723904,15.74354927,18.01823715,18.74338163,,,,,,,,,,,,,,,,,,,
0.697916667,12.82791398,7.394300132,4.198786952,2.004048717,0.622139983,12.44757116,15.80443023,18.03369758,18.7509813,,,,,,,,,,,,,,,,,,,
0.7083333,12.66956876,7.180887284,3.93751732,1.753861036,0.482673348,12.48909128,15.85689999,18.04942372,18.75936976,,,,,,,,,,,,,,,,,,,
0.71875,12.2367989,6.843024337,3.62421428,1.485654392,0.354866891,12.61694035,15.94498554,18.07160377,18.77170565,,,,,,,,,,,,,,,,,,,
0.729166667,11.94773887,6.535640616,3.331432385,1.254324154,0.26695094,12.71573418,16.0317162,18.09572133,18.78516425,,,,,,,,,,,,,,,,,,,
0.739583333,11.76409232,6.294014617,3.074028688,1.060285727,0.207261185,12.77565426,16.10728895,18.12175619,18.79990244,,,,,,,,,,,,,,,,,,,
0.75,11.6455422,6.117205356,2.863488761,0.906205996,0.16768149,12.81393818,16.16477031,18.14651668,18.81522579,,,,,,,,,,,,,,,,,,,
0.760416667,11.07595903,5.927341021,2.717136745,0.807331816,0.147093672,13.0084755,16.22478831,18.16591936,18.82770512,,,,,,,,,,,,,,,,,,,
0.770833333,10.73838169,5.674494795,2.558260773,0.727527518,0.133209669,13.14648096,16.31259407,18.18833486,18.83991006,,,,,,,,,,,,,,,,,,,
0.78125,10.54962758,5.459523762,2.396084997,0.654671805,0.122368849,13.22184714,16.39192808,18.21403362,18.85281646,,,,,,,,,,,,,,,,,,,
0.791666667,10.44559329,5.304219385,2.25358741,0.590525239,0.113710704,13.26058916,16.45120156,18.23919248,18.86510114,,,,,,,,,,,,,,,,,,,
0.802083333,9.890152886,5.163732085,2.184668584,0.56684797,0.113150806,13.47347742,16.50018166,18.2526928,18.86963567,,,,,,,,,,,,,,,,,,,
0.8125,9.579793724,4.942000132,2.082087469,0.538343646,0.11130458,13.61209256,16.58698105,18.2720947,18.87527478,,,,,,,,,,,,,,,,,,,
0.822916667,9.417672849,4.753486513,1.961683528,0.500614731,0.108011598,13.67839409,16.6642198,18.29719586,18.88359243,,,,,,,,,,,,,,,,,,,
0.8333333,9.33484327,4.621309624,1.852254295,0.461501168,0.104200207,13.71861263,16.71951751,18.32171291,18.89205101,,,,,,,,,,,,,,,,,,,
0.84375,8.757786728,4.434013038,1.762545553,0.432920099,0.102065032,13.95878137,16.79161209,18.3426733,18.89814299,,,,,,,,,,,,,,,,,,,
0.854166667,8.438981472,4.184640241,1.63953337,0.399020317,0.099347549,14.11342081,16.89775312,18.37262909,18.9058499,,,,,,,,,,,,,,,,,,,
0.864583333,8.276046878,3.984412861,1.50816218,0.359201114,0.095634307,14.19119814,16.98668614,18.40805995,18.91584763,,,,,,,,,,,,,,,,,,,
0.875,8.194758851,3.849469708,1.397753312,0.322714827,0.092102534,14.22746683,17.04822089,18.44036069,18.924876,,,,,,,,,,,,,,,,,,,
0.885416667,7.5928219,3.629483673,1.291982005,0.291140994,0.089262419,14.4880818,17.13836177,18.47178599,18.93268957,,,,,,,,,,,,,,,,,,,
0.895833333,7.259498187,3.357694028,1.160350886,0.258533903,0.086782175,14.65357236,17.26160501,18.51317674,18.9409449,,,,,,,,,,,,,,,,,,,
0.90625,7.089531739,3.144388755,1.029695465,0.224483115,0.083963169,14.73779749,17.36240815,18.55816087,18.95023348,,,,,,,,,,,,,,,,,,,
0.916666667,7.005485511,3.002319261,0.92651239,0.196444866,0.081610279,14.77827439,17.43074176,18.59640247,18.95714011,,,,,,,,,,,,,,,,,,,
0.927083333,6.671648049,2.812228219,0.821315192,0.169279768,0.079326225,14.93187684,17.51833851,18.63599792,18.96444474,,,,,,,,,,,,,,,,,,,
0.9375,6.487879019,2.636465178,0.730094203,0.149722409,0.078194774,15.02758863,17.60245843,18.67214719,18.9686538,,,,,,,,,,,,,,,,,,,
0.947916667,6.396405747,2.511679195,0.659464493,0.135377342,0.077583531,15.07485158,17.66397457,18.70120594,18.97149378,,,,,,,,,,,,,,,,,,,
0.9583333,6.353563331,2.433543929,0.612272704,0.126222234,0.077468748,15.09478765,17.70305802,18.72075545,18.97286053,,,,,,,,,,,,,,,,,,,
0.96875,6.171180585,2.325379637,0.563486966,0.117454304,0.077500603,15.18132379,17.75487841,18.74130826,18.97509263,,,,,,,,,,,,,,,,,,,
0.979166667,6.07219101,2.229882306,0.523518928,0.111626394,0.077931335,15.23299454,17.80167484,18.75822632,18.97592752,,,,,,,,,,,,,,,,,,,
0.989583333,6.02517557,2.163710171,0.493817389,0.107538012,0.078500221,15.25838956,17.83519769,18.77085603,18.97644508,,,,,,,,,,,,,,,,,,,
1,6.005724027,2.123073985,0.474633866,0.105129784,0.079189221,15.27027141,17.85581493,18.77872204,18.97630534,,,,,,,,,,,,,,,,,,,
1.010416667,5.755528033,1.847766915,0.358537697,0.087454832,0.079406059,15.39690095,17.99615118,18.83580907,18.9862567,,,,,,,,,,,,,,,,,,,
1.020833333,5.597259505,1.674350937,0.295262418,0.081771654,0.081356892,15.48442605,18.07910561,18.86365068,18.98498745,,,,,,,,,,,,,,,,,,,
1.03125,5.512223197,1.572659684,0.264412815,0.080408896,0.083864719,15.52853117,18.13420668,18.87572372,18.98439735,,,,,,,,,,,,,,,,,,,
1.041666667,5.468290138,1.516731739,0.250486681,0.081051731,0.086628681,15.55286323,18.16061493,18.88052556,18.98486733,,,,,,,,,,,,,,,,,,,
1.052083333,5.411265812,1.311535084,0.191187085,0.077392971,0.090444031,15.59070363,18.27143589,18.91436107,18.98831765,,,,,,,,,,,,,,,,,,,
1.0625,5.371595776,1.223417849,0.172974307,0.079024064,0.095081651,15.61502587,18.31652636,18.91881606,18.98651353,,,,,,,,,,,,,,,,,,,
1.072916667,5.352043112,1.190316258,0.170550721,0.082316182,0.100033104,15.62519603,18.33419222,18.91757099,18.98588565,,,,,,,,,,,,,,,,,,,
1.0833333,5.343361334,1.182118789,0.17381283,0.086266197,0.105109714,15.63058649,18.33505786,18.91599666,18.98551852,,,,,,,,,,,,,,,,,,,
1.09375,5.230643559,0.97349755,0.13601512,0.087467686,0.111937567,15.68834737,18.44968635,18.94123833,18.98775164,,,,,,,,,,,,,,,,,,,
1.104166667,5.146173387,0.881774104,0.128342288,0.092095514,0.119369276,15.73308969,18.49508256,18.94001,18.98606212,,,,,,,,,,,,,,,,,,,
1.114583333,5.09499505,0.845414505,0.129639421,0.097694501,0.127026015,15.75630426,18.51275468,18.9381883,18.98519946,,,,,,,,,,,,,,,,,,,
1.125,5.063990869,0.833990978,0.134044335,0.10360674,0.13469186,15.7715929,18.51830197,18.93736962,18.98477765,,,,,,,,,,,,,,,,,,,
1.135416667,4.905824198,0.664824709,0.117215132,0.109099435,0.144239121,15.8416838,18.61466148,18.95056879,18.98527649,,,,,,,,,,,,,,,,,,,
1.145833333,4.779424627,0.594692973,0.116674614,0.116239673,0.153972578,15.90167662,18.64858501,18.9479785,18.98388696,,,,,,,,,,,,,,,,,,,
1.15625,4.693093517,0.566509587,0.120283184,0.123765076,0.163646872,15.94320329,18.66114144,18.94643254,18.98280192,,,,,,,,,,,,,,,,,,,
1.166666667,4.63475097,0.555170566,0.125036319,0.131179064,0.173046184,15.97144094,18.66517462,18.94511141,18.9819446,,,,,,,,,,,,,,,,,,,
1.177083333,4.705060884,0.467950956,0.121555911,0.13900088,0.183669917,15.9426861,18.72076656,18.95010149,18.98148597,,,,,,,,,,,,,,,,,,,
1.1875,4.758318881,0.457901046,0.126245916,0.147257972,0.193958344,15.9118366,18.72080574,18.94688303,18.98022895,,,,,,,,,,,,,,,,,,,
