timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank5Nitrate,tank5Phosphate,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,tank1Nitrate,tank2Nitrate,tank3Nitrate,tank4Nitrate
1.8799698276967594,15.92379291946803,16.053499287232704,15.621098766739813,15.351450282232724,15.189758958988389,0.39640556258108894,2.1392002036695414,0.20886792477725205,0.2088699964286287,0.20890570622650642,0.20894321657196321,0.20895995832521694,0.005215993059709829,0.0003194749624077838,0.10773857997646677,0.24532724756293967
1.8875163517939815,15.953736739091498,16.08142038088336,15.633842552814231,15.354552470431123,15.184171739977929,0.3951537420403037,2.1415075351309008,0.2088665333170289,0.2088686860457815,0.20890493745862368,0.2089430010206362,0.20896026730644546,0.0050935169102254525,0.00031146772607411983,0.10733961337169709,0.2443646142967338
1.8949402940277777,15.97755978190783,16.108759899798414,15.648349962159953,15.359576124725747,15.180926939319903,0.3947117506272232,2.144096676046175,0.20886539583380212,0.20886741138113363,0.2089041671825456,0.2089427225889716,0.20896044080785034,0.005048029077687094,0.00030734359088215144,0.10748509630832026,0.24420360721331688
1.9029897917824075,15.998960631003376,16.136601025804307,15.665805752760901,15.367254122917277,15.1798734741499,0.39512244893287496,2.147262191896133,0.20886431656281496,0.20886609967389366,0.20890333259257673,0.20894233273228197,0.20896048372267878,0.0050529926312655625,0.00030643979562561626,0.10812339498387533,0.24483566438960724
1.9103098094791666,16.01565982232421,16.159798159362932,15.682604464008945,15.376053892494955,15.181056246635416,0.39628074269457886,2.1504746824269003,0.20886342010945633,0.20886497988576733,0.20890260455928483,0.20894191502436216,0.208960404914647,0.005094551400849016,0.00030825121415158443,0.10905421056557606,0.24606183897293524
1.9173114114467593,16.029926145648602,16.180109595029382,15.699020750544106,15.385810426512862,15.183966923804599,0.3980509010323216,2.153853881054812,0.20886260851613406,0.2088639681179792,0.2089019474421356,0.2089414749070841,0.20896023720777074,0.005166461825344256,0.00031205200812147224,0.11019663085357727,0.247742713277884
1.9248805800810185,16.0451824046852,16.19958750128502,15.718942600887694,15.39930602902545,15.190088270777576,0.39976818643769896,2.157767043519189,0.2088617334794629,0.20886294538326886,0.20890100044759188,0.20894078638937133,0.2089598850689605,0.0053055698044653975,0.0003185253144476404,0.11105071885784802,0.24924980300986002
1.9321419677083334,16.061161633383414,16.21647709296262,15.739945328600138,15.415723627436849,15.199497259756935,0.4006139251387516,2.161728528466821,0.20886086520370556,0.20886201767000853,0.20889987849728942,0.2089398909798906,0.2089593690449407,0.005332576373076352,0.00032242931323528146,0.11118553600394489,0.24985067727892082
1.9392861308796296,16.078578387479983,16.232519925606578,15.761005221233836,15.434318093630154,15.21185580531801,0.40065416972710727,2.1658082209771687,0.20885998017533802,0.2088611318913722,0.20889869601852334,0.20893887660722948,0.2089587265966204,0.005296683265725693,0.00032278220894610773,0.11078911803286418,0.24966238166720778
1.9471942816435186,16.09976620182621,16.250550600199865,15.783981565233631,15.456705799502975,15.228612280376868,0.3997785233710324,2.1704727728808697,0.20885896903080828,0.20886016272268684,0.20889733242756575,0.20893765041654844,0.20895787956115566,0.005217250968365129,0.0003194085356563595,0.10986967536486657,0.24862660235726977
